Date,Time,DateTime,Height,Tide_Type,Station_Code,Station_Name,Year
1/1/2022,1:49,1/1/2022 1:49,0.57,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
1/1/2022,2:07,1/1/2022 2:07,0.58,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
1/1/2022,2:10,1/1/2022 2:10,0.74,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
1/1/2022,2:14,1/1/2022 2:14,0.59,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
1/1/2022,2:17,1/1/2022 2:17,0.53,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
1/1/2022,2:19,1/1/2022 2:19,0.53,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
1/1/2022,2:29,1/1/2022 2:29,0.45,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
1/1/2022,2:36,1/1/2022 2:36,0.66,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
1/1/2022,2:39,1/1/2022 2:39,0.49,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
1/1/2022,2:42,1/1/2022 2:42,0.34,低潮 (Low Tide),TAO,Tai O (大澳),2022
1/1/2022,3:13,1/1/2022 3:13,0.39,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
1/1/2022,4:18,1/1/2022 4:18,0.33,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
1/1/2022,12:46,1/1/2022 12:46,1.36,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
1/1/2022,12:48,1/1/2022 12:48,1.21,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
1/1/2022,12:53,1/1/2022 12:53,1.15,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
1/1/2022,13:00,1/1/2022 13:00,1.24,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
1/1/2022,13:09,1/1/2022 13:09,1.26,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
1/1/2022,13:14,1/1/2022 13:14,1.25,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
1/1/2022,13:22,1/1/2022 13:22,1.24,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
1/1/2022,13:23,1/1/2022 13:23,1.22,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
1/1/2022,13:34,1/1/2022 13:34,1.2,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
1/1/2022,13:50,1/1/2022 13:50,1.2,低潮 (Low Tide),TAO,Tai O (大澳),2022
1/1/2022,14:00,1/1/2022 14:00,1.19,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
1/1/2022,15:00,1/1/2022 15:00,1.14,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
1/1/2022,19:34,1/1/2022 19:34,2.6,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
