Tropical Cyclone Best Track Data (post analysis),,,,,,,,,,,
Tropical Cyclone Name,Year,Month,Day,Time (UTC),Intensity,Latitude (0.01 degree N),Longitude (0.01 degree E),Estimated minimum central pressure (hPa),Estimated maximum surface winds (knot),JMA Code,HKO Code
MALAKAS,2022,4,7,0,TD,370,14850,1000,25,2201,1
MALAKAS,2022,4,7,6,TD,380,14780,1000,25,2201,1
MALAKAS,2022,4,7,12,TD,390,14700,998,30,2201,1
MALAKAS,2022,4,7,18,TD,400,14680,998,30,2201,1
MALAKAS,2022,4,8,0,TS,450,14640,994,35,2201,1
MALAKAS,2022,4,8,6,TS,540,14600,994,35,2201,1
MALAKAS,2022,4,8,12,TS,600,14500,990,40,2201,1
MALAKAS,2022,4,8,18,TS,650,14460,990,40,2201,1
MALAKAS,2022,4,9,0,TS,700,14430,990,40,2201,1
MALAKAS,2022,4,9,6,TS,760,14370,990,40,2201,1
MALAKAS,2022,4,9,12,TS,800,14280,988,45,2201,1
MALAKAS,2022,4,9,18,TS,890,14160,988,45,2201,1
MALAKAS,2022,4,10,0,TS,1030,14050,988,45,2201,1
MALAKAS,2022,4,10,6,TS,1120,13890,988,45,2201,1
MALAKAS,2022,4,10,12,STS,1180,13780,984,50,2201,1
MALAKAS,2022,4,10,18,STS,1200,13660,980,55,2201,1
MALAKAS,2022,4,11,0,STS,1230,13640,975,60,2201,1
MALAKAS,2022,4,11,6,STS,1300,13600,975,60,2201,1
MALAKAS,2022,4,11,12,STS,1380,13600,975,60,2201,1
MALAKAS,2022,4,11,18,STS,1460,13580,975,60,2201,1
MALAKAS,2022,4,12,0,T,1530,13500,965,70,2201,1
MALAKAS,2022,4,12,6,T,1580,13510,960,75,2201,1
MALAKAS,2022,4,12,12,ST,1610,13530,950,85,2201,1
MALAKAS,2022,4,12,18,ST,1670,13590,945,90,2201,1
MALAKAS,2022,4,13,0,ST,1730,13640,940,95,2201,1
MALAKAS,2022,4,13,6,ST,1800,13690,940,95,2201,1
MALAKAS,2022,4,13,12,ST,1890,13770,940,95,2201,1
MALAKAS,2022,4,13,18,SuperT,1970,13770,935,100,2201,1
MALAKAS,2022,4,14,0,ST,2050,13800,940,95,2201,1
MALAKAS,2022,4,14,6,ST,2180,13840,945,90,2201,1
MALAKAS,2022,4,14,12,ST,2250,13920,950,85,2201,1
MALAKAS,2022,4,14,18,T,2400,14040,955,80,2201,1
MALAKAS,2022,4,15,0,T,2640,14060,965,70,2201,1
MALAKAS,2022,4,15,6,STS,2820,14170,975,60,2201,1
MEGI,2022,4,9,0,TD,1070,12700,1000,25,2202,2
MEGI,2022,4,9,6,TD,1070,12680,1000,25,2202,2
MEGI,2022,4,9,12,TD,1070,12660,1000,25,2202,2
MEGI,2022,4,9,18,TD,1070,12650,998,30,2202,2
MEGI,2022,4,10,0,TS,1070,12620,995,35,2202,2
MEGI,2022,4,10,6,TS,1070,12580,995,35,2202,2
MEGI,2022,4,10,12,TS,1080,12550,995,35,2202,2
MEGI,2022,4,10,18,TS,1090,12530,995,35,2202,2
MEGI,2022,4,11,0,TD,1100,12510,998,30,2202,2
MEGI,2022,4,11,6,TD,1130,12490,998,30,2202,2
MEGI,2022,4,11,12,TD,1120,12470,1000,25,2202,2
MEGI,2022,4,11,15,TD,1110,12480,1000,25,2202,2
CHABA,2022,6,29,0,TD,1530,11630,996,25,2203,3
CHABA,2022,6,29,6,TD,1540,11610,996,25,2203,3
CHABA,2022,6,29,12,TD,1560,11570,994,30,2203,3
CHABA,2022,6,29,18,TD,1560,11530,994,30,2203,3
CHABA,2022,6,30,0,TS,1580,11530,990,35,2203,3
CHABA,2022,6,30,6,TS,1620,11520,986,40,2203,3
CHABA,2022,6,30,12,TS,1700,11500,982,45,2203,3
CHABA,2022,6,30,18,STS,1740,11470,978,50,2203,3
CHABA,2022,7,1,0,STS,1830,11410,975,55,2203,3
CHABA,2022,7,1,6,STS,1900,11320,970,60,2203,3
CHABA,2022,7,1,12,STS,1930,11270,970,60,2203,3
CHABA,2022,7,1,18,STS,2010,11200,970,60,2203,3
CHABA,2022,7,2,0,T,2050,11180,965,65,2203,3
CHABA,2022,7,2,6,T,2130,11130,965,65,2203,3
CHABA,2022,7,2,12,STS,2190,11070,978,50,2203,3
CHABA,2022,7,2,18,TS,2240,11050,982,45,2203,3
CHABA,2022,7,3,0,TS,2340,11050,988,35,2203,3
